question_id,question_url,Task,Question_Title
77221042,https://stackoverflow.com/questions/77221042/unable-to-install-packages-after-exec-ing-into-container-as-root,1. Runtime Compatibility,Unable to install packages after exec-ing into container as root
76846815,https://stackoverflow.com/questions/76846815/docker-image-looses-user-file-permissions-if-running-on-another-machine,"3. Filesystem, Mount & Storage",Docker image looses user file permissions if running on another machine
76161452,https://stackoverflow.com/questions/76161452/libcontainer-what-happens-after-the-invocation-of-proc-self-exe-init,1. Runtime Compatibility,Libcontainer: What happens after the invocation of /proc/self/exe init
75798292,https://stackoverflow.com/questions/75798292/how-to-copy-files-from-host-to-container-using-ctr-containerd-command-only,"3. Filesystem, Mount & Storage",How to copy files from host to container using ctr Containerd command only?
74903831,https://stackoverflow.com/questions/74903831/how-to-run-wasm-module-with-podman-crun,1. Runtime Compatibility,How to run Wasm module with podman + crun?
73341204,https://stackoverflow.com/questions/73341204/linuxkit-where-is-the-container-running,6. Diagnostics & Observability,Linuxkit where is the container running
70089899,https://stackoverflow.com/questions/70089899/how-to-dump-the-stack-trace-of-runc,6. Diagnostics & Observability,How to dump the stack trace of runc
74317699,https://stackoverflow.com/questions/74317699/runc-how-to-start-stopped-container,1. Runtime Compatibility,runc: how to start stopped container
73434226,https://stackoverflow.com/questions/73434226/oci-runtime-exec-failed-exec-failed-unable-to-start-container-process-open-d,1. Runtime Compatibility,OCI runtime exec failed: exec failed: unable to start container process: open /dev/pts/0: operation not permitted: unknown
66547508,https://stackoverflow.com/questions/66547508/how-to-properly-run-a-container-with-containerds-ctr-using-uidmap-gidmap-and,"4. Identity, Privilege & Isolation",How to properly run a container with containerd's ctr using --uidmap/gidmap and --net-host option
65917162,https://stackoverflow.com/questions/65917162/how-does-oci-runc-system-path-constraining-work-to-prevent-remounting-such-paths,"3. Filesystem, Mount & Storage",How does OCI/runc system path constraining work to prevent remounting such paths?
63752123,https://stackoverflow.com/questions/63752123/joined-process-cannot-write-ns-last-pid-of-the-container,"3. Filesystem, Mount & Storage",joined process cannot write ns_last_pid of the container
62887953,https://stackoverflow.com/questions/62887953/how-to-use-ld-preload-in-container-runc,2. Configuration Management,How to use LD_PRELOAD in container runc
79059510,https://stackoverflow.com/questions/79059510/cannot-create-sandbox-cannot-read-client-sync-file-waiting-for-sandbox-to-star,1. Runtime Compatibility,cannot create sandbox: cannot read client sync file: waiting for sandbox to start: EOF: unknown
78668565,https://stackoverflow.com/questions/78668565/passing-through-dev-mem-into-gvisor-container,"4. Identity, Privilege & Isolation",Passing through /dev/mem into gVisor container
72555998,https://stackoverflow.com/questions/72555998/cant-launch-pod-using-gvisor,6. Diagnostics & Observability,Can't launch pod using gVisor
72392812,https://stackoverflow.com/questions/72392812/debug-logs-are-not-generated-for-sandboxed-container,6. Diagnostics & Observability,Debug logs are not generated for Sandboxed container
69846927,https://stackoverflow.com/questions/69846927/how-to-run-untrusted-code-using-gvisor-on-google-cloud-run,1. Runtime Compatibility,How to run untrusted code using gVisor on Google Cloud Run?
67726666,https://stackoverflow.com/questions/67726666/boostfilesystem-not-working-in-google-cloud-run-using-gvisor,1. Runtime Compatibility,boost::filesystem not working in Google Cloud Run (using gVisor)
67208304,https://stackoverflow.com/questions/67208304/untrusted-workloads-in-kubernetes-with-runsc-hanging,6. Diagnostics & Observability,Untrusted workloads in Kubernetes with runsc - hanging?
64322965,https://stackoverflow.com/questions/64322965/why-might-a-gvisor-based-node-pool-fail-to-bootstrap-properly,6. Diagnostics & Observability,Why might a gvisor based node pool fail to bootstrap properly?
63132692,https://stackoverflow.com/questions/63132692/unable-to-fetch-cpu-pod-metrics-k8s-containerd-containerd-shim-runsc-v1-gv,6. Diagnostics & Observability,"Unable to fetch cpu pod metrics, k8s- containerd - containerd-shim-runsc-v1 - gvisor"
58382208,https://stackoverflow.com/questions/58382208/how-gvisor-can-protect-host-from-dirty-cow-poc,"4. Identity, Privilege & Isolation",How gVisor can protect host from dirty cow PoC?
77827486,https://stackoverflow.com/questions/77827486/imagepullsecrets-has-no-effect-and-authentication-still-required,2. Configuration Management,imagePullSecrets has no effect and authentication still required
74243015,https://stackoverflow.com/questions/74243015/how-to-resolve-kube-proxy-stuck-in-container-creating-state,5. Networking & Connectivity,How to resolve kube-proxy stuck in container creating state?
73029815,https://stackoverflow.com/questions/73029815/not-showing-kubernetes-pods-in-podman,1. Runtime Compatibility,not showing kubernetes pods in podman
72895951,https://stackoverflow.com/questions/72895951/switch-container-runtime-in-k8s-cluster-from-cri-o-to-docker,1. Runtime Compatibility,Switch container runtime in K8S cluster. From CRI-O to docker
72432144,https://stackoverflow.com/questions/72432144/how-to-install-podman-on-top-of-docker-for-build-purposes,1. Runtime Compatibility,How to install podman on top of docker (for build purposes)?
72183367,https://stackoverflow.com/questions/72183367/create-kubectl-secrets-when-pulling-from-private-registry-using-crio,2. Configuration Management,Create kubectl secrets when pulling from private registry using crio
72081603,https://stackoverflow.com/questions/72081603/can-i-install-kubernetes-on-amazon-linux-2,1. Runtime Compatibility,can i install kubernetes on amazon linux 2
71671179,https://stackoverflow.com/questions/71671179/kubernetes-with-cri-o-and-docker-private-registry-pods-running-only-on-master-n,5. Networking & Connectivity,Kubernetes with CRI-O and docker private registry: pods running only on master node
71499683,https://stackoverflow.com/questions/71499683/how-to-export-image-in-cri-o,1. Runtime Compatibility,How to export image in CRI-O?
70714501,https://stackoverflow.com/questions/70714501/how-to-run-crictl-command-as-non-root-user,"4. Identity, Privilege & Isolation",How to run crictl command as non root user
69636534,https://stackoverflow.com/questions/69636534/how-to-get-a-pod-name-and-namespace-on-a-node-running-that-pod,6. Diagnostics & Observability,How to get a pod name and namespace on a node running that pod?
69295491,https://stackoverflow.com/questions/69295491/how-to-mount-volume-without-using-docker,"3. Filesystem, Mount & Storage",How to mount volume without using docker
68660550,https://stackoverflow.com/questions/68660550/crictl-rmi-removing-all-the-images-which-are-in-use,"3. Filesystem, Mount & Storage",crictl rmi removing all the images which are in use
68471241,https://stackoverflow.com/questions/68471241/how-to-enable-https-on-cri-o-socket-metrics,6. Diagnostics & Observability,How to enable https on cri-o socket metrics
66114696,https://stackoverflow.com/questions/66114696/is-it-possible-to-run-wine-in-containerd-kubernetes-cri-o,1. Runtime Compatibility,Is it possible to run wine in containerd/ kubernetes CRI-O?
65970982,https://stackoverflow.com/questions/65970982/what-version-of-software-i-need-to-deploy-to-get-kubernetes-1-19-7,1. Runtime Compatibility,what version of software I need to deploy to get kubernetes 1.19.7
65650082,https://stackoverflow.com/questions/65650082/how-to-start-a-container-in-cri-o-with-only-specifying-the-image-name,1. Runtime Compatibility,How to start a container in cri-o with only specifying the image name?
63515845,https://stackoverflow.com/questions/63515845/retrieve-cri-o-information-using-golang,6. Diagnostics & Observability,Retrieve cri-o information using golang
62874903,https://stackoverflow.com/questions/62874903/crio-runtime-spec-for-oci-v1alpha1-compliance,1. Runtime Compatibility,CRIO runtime spec for OCI v1alpha1 compliance
62675268,https://stackoverflow.com/questions/62675268/kubeadm-v1-18-2-with-crio-version-1-18-2-failing-to-start-master-node-from-priva,2. Configuration Management,kubeadm v1.18.2 with crio version 1.18.2 failing to start master node from private repo on Centos7 / RH7
