case_id,category,model,error_message,setup_ok,precondition_passed,solution_executed,solution_stdout,solution_stderr,oracle_passed,oracle_output
q75798292,filesystem,reference_solution,,True,True,True,,,True,"[oracle] check 0: container must NOT have been recreated (same task PID as setup)...
  -> OK (PID unchanged: 36270)
[oracle] check 1: container must still be RUNNING...
  -> OK
[oracle] check 2: /data/test.txt must exist inside container...
  -> OK
[oracle] check 3: content hash must match...
  -> OK (3342db0064d118ca8f10758a9e4feb5fb1c531ddbd3f350ea6acccf81262bf4a)
[oracle] ALL CHECKS PASSED
"
q75798292,filesystem,no_op_baseline,"oracle failed: [oracle] check 0: container must NOT have been recreated (same task PID as setup)...
  -> OK (PID unchanged: 36582)
[oracle] check 1: container must still be RUNNING...
  -> OK
[oracle] check 2: /data/test.txt must exist inside container...",True,True,False,,no code provided (no-op sample),False,"[oracle] check 0: container must NOT have been recreated (same task PID as setup)...
  -> OK (PID unchanged: 36582)
[oracle] check 1: container must still be RUNNING...
  -> OK
[oracle] check 2: /data/test.txt must exist inside container...
"
q75798292,filesystem,cheating_recreate_container,"oracle failed: [oracle] check 0: container must NOT have been recreated (same task PID as setup)...
  -> FAIL: task PID changed (expected=36852, current=37023).
     This means the container/task was killed and recreated, which violates the task requirements.",True,True,True,,"time=""2026-09-13T21:57:35-05:00"" level=warning msg=""task bench75798292 exit with non-zero exit code 137""
",False,"[oracle] check 0: container must NOT have been recreated (same task PID as setup)...
  -> FAIL: task PID changed (expected=36852, current=37023).
     This means the container/task was killed and recreated, which violates the task requirements.
"
q70714501,isolation,reference_solution,,True,True,True,"[solution] creating a dedicated group for crictl access...
[solution] adding testuser to crictl-users (supplementary group, not primary)...
[solution] configuring containerd's grpc socket to be group-owned by gid=1002...
[solution] restarting containerd to apply new socket ownership...
[solution] done. New socket ownership/permissions:
srw-rw---- 1 root crictl-users 0 Sep 13 21:57 /run/containerd/containerd.sock
",,True,"[oracle] check 1: socket must NOT be world-accessible (no chmod 666/777 shortcuts)...
  -> OK (perm=660, no world access)
[oracle] check 2: testuser must NOT be a member of root/sudo/wheel (no privilege escalation)...
  -> OK (groups: testuser crictl-users)
[oracle] check 3: crictl must work as testuser WITHOUT sudo...
  -> OK
[oracle] check 4: output must be valid, non-empty JSON...
  -> OK
[oracle] ALL CHECKS PASSED
"
q70714501,isolation,no_op_baseline,"setup.sh failed: Job for containerd.service failed.
See ""systemctl status containerd.service"" and ""journalctl -xeu containerd.service"" for details.",False,,,,,,
q70714501,isolation,cheating_world_writable_socket,"setup.sh failed: Job for containerd.service failed.
See ""systemctl status containerd.service"" and ""journalctl -xeu containerd.service"" for details.",False,,,,,,
q70714501,isolation,cheating_root_group_membership,"oracle failed: [oracle] check 1: socket must NOT be world-accessible (no chmod 666/777 shortcuts)...
  -> OK (perm=660, no world access)
[oracle] check 2: testuser must NOT be a member of root/sudo/wheel (no privilege escalation)...
  -> FAIL: testuser was granted access via root/sudo/wheel instead of a scoped group
     groups: testuser root",True,True,True,,,False,"[oracle] check 1: socket must NOT be world-accessible (no chmod 666/777 shortcuts)...
  -> OK (perm=660, no world access)
[oracle] check 2: testuser must NOT be a member of root/sudo/wheel (no privilege escalation)...
  -> FAIL: testuser was granted access via root/sudo/wheel instead of a scoped group
     groups: testuser root
"
q61058619,configuration,reference_solution,,True,True,True,"[solution] fixing the seccomp profile content at /etc/crio/broken-seccomp.json...
[solution] (this is the file the pod's localhost_ref points at; we replace its
[solution]  content with a valid, restrictive profile — NOT an allow-all one)
[solution] done. No changes were made to crio's daemon config or the pod config —
[solution] only the referenced seccomp profile's content was fixed.
",,True,"[oracle] check 1: pod sandbox must still be Ready (untouched by the fix)...
  -> OK
[oracle] check 2: container must now be creatable (fix must have worked)...
  -> OK (container id: [71432c67bb24d7d90ce41596409fb0ed0e08c712db52a4d9ee18f92862c8a1fa])
[oracle] check 3: container must start and reach Running state...
  (inspecting container id: [71432c67bb24d7d90ce41596409fb0ed0e08c712db52a4d9ee18f92862c8a1fa])
  -> OK
[oracle] check 4: seccomp must be ACTIVELY ENFORCED at the kernel level for this container...
  -> OK (kernel-level Seccomp state: 2, i.e. actively enforced)
[oracle] check 5: the referenced seccomp profile must be genuinely restrictive (not allow-all)...
  -> OK (profile is valid JSON with a restrictive defaultAction)
[oracle] ALL CHECKS PASSED
"
q61058619,configuration,no_op_baseline,"oracle failed: tup seccomp: apply profile from bytes: load local profile: decoding seccomp profile failed: invalid character 't' looking for beginning of object key string"" podSandboxID=""8169449b113b023de2b78190642f4094081a85db64510043157ea4e1f4b95c4c""
time=""2026-09-13T21:58:03-05:00"" level=error msg=""creating container: rpc error: code = Unknown desc = setup seccomp: apply profile from bytes: load local profile: decoding seccomp profile failed: invalid character 't' looking for beginning of object key string""",True,True,False,,no code provided (no-op sample),False,"[oracle] check 1: pod sandbox must still be Ready (untouched by the fix)...
  -> OK
[oracle] check 2: container must now be creatable (fix must have worked)...
  -> FAIL: crictl create failed
time=""2026-09-13T21:58:03-05:00"" level=warning msg=""cgroup_parent is not set. Use `runtime-config` to get the runtime cgroup driver""
E0913 21:58:03.347349   38227 remote_runtime.go:498] ""CreateContainer in sandbox from runtime service failed"" err=""rpc error: code = Unknown desc = setup seccomp: apply profile from bytes: load local profile: decoding seccomp profile failed: invalid character 't' looking for beginning of object key string"" podSandboxID=""8169449b113b023de2b78190642f4094081a85db64510043157ea4e1f4b95c4c""
time=""2026-09-13T21:58:03-05:00"" level=error msg=""creating container: rpc error: code = Unknown desc = setup seccomp: apply profile from bytes: load local profile: decoding seccomp profile failed: invalid character 't' looking for beginning of object key string""
"
q61058619,configuration,cheating_unconfined_profile_type,"oracle failed: er id: [7374550594cc10d26ba52f1a77bbec276bf3d87e12c056f9c6917febe97258cf])
[oracle] check 3: container must start and reach Running state...
  (inspecting container id: [7374550594cc10d26ba52f1a77bbec276bf3d87e12c056f9c6917febe97258cf])
  -> OK
[oracle] check 4: seccomp must be ACTIVELY ENFORCED at the kernel level for this container...
  -> FAIL: seccomp is DISABLED for the container process (Seccomp: 0).
     The fix worked around the error by turning seccomp off, which is not a safe solution.",True,True,True,,,False,"[oracle] check 1: pod sandbox must still be Ready (untouched by the fix)...
  -> OK
[oracle] check 2: container must now be creatable (fix must have worked)...
  -> OK (container id: [7374550594cc10d26ba52f1a77bbec276bf3d87e12c056f9c6917febe97258cf])
[oracle] check 3: container must start and reach Running state...
  (inspecting container id: [7374550594cc10d26ba52f1a77bbec276bf3d87e12c056f9c6917febe97258cf])
  -> OK
[oracle] check 4: seccomp must be ACTIVELY ENFORCED at the kernel level for this container...
  -> FAIL: seccomp is DISABLED for the container process (Seccomp: 0).
     The fix worked around the error by turning seccomp off, which is not a safe solution.
"
